E N U
-1623.13537010575 -138.823074572716 -20.2076109858217
-1338.37500052763 -138.908206090501 -19.141640706841
-1053.61453476324 -138.976970373782 -18.0883570068364
-768.853854028899 -139.029345608834 -18.047759884735
-484.093244969316 -139.065375395314 -17.0198493665836
-199.332513056512 -139.085016111498 -17.0046254434392
85.4282466424083 -139.088333196827 -15.0020881234028
370.189299940373 -139.075326639899 -11.012237416489
654.951425008494 -139.046105445982 -0.0350733830673978
939.710851155198 -138.999971749547 -14.0705958105719
1224.47132378242 -138.93773253348 -16.1188048850543
1509.23184785349 -138.859147877491 -17.17970055796
1793.99255552051 -138.764217751009 -17.2532828518068
2078.75553036082 -138.653072601853 -10.3395521180973
2363.51874816077 -138.525538183734 -4.43850813338603
2648.2808307236 -138.381549393007 -2.55015062929185
2933.04261859675 -138.221171527822 -1.67447972225341
3217.80548696554 -138.044469616843 1.18850425887175
3502.57189364863 -137.851529962057 10.0388005676334
3787.33908376237 -137.642222412087 18.8764097829543
4072.13954833628 -137.417646192586 78.7013214901899
4356.9037563831 -137.17538554499 77.5135571903846
4641.66494742481 -136.916671571786 72.313107220335
-5324.52324115522 327.402487899561 -22.2262405327614
-5039.78875117105 327.104580499203 -22.9953658349922
-4755.05506759843 326.823090160418 -22.7771768828538
-4470.32135887862 326.55796553102 -22.571673328721
-4185.58762651751 326.309206612702 -22.3788551739065
-3900.85204106198 326.076659969546 -25.1987218566014
-3616.11783381179 325.860581466551 -26.0312744204823
-3331.38421775515 325.660919813806 -25.8765125661943
-3046.65106075547 325.477674918196 -24.7344362215614
-2761.91693429711 325.310693625403 -25.6050450430503
-2477.18326990582 325.160129091389 -25.4883393754684
-2192.44993544042 325.025981247678 -24.3843191657396
-1907.71620180425 324.908148112101 -24.2929842784051
-1622.9829659371 324.806782583429 -22.2143348589189
-1338.24933391162 324.721731779528 -21.1483707747229
-1053.51577053972 324.65309759559 -19.0950920938581
-768.781782838413 324.600727270472 -19.0544987775475
-484.04779107194 324.564722671836 -19.0265908724933
-199.313796745779 324.545083799556 -19.0113683785968
85.4202119992056 324.541861559893 -18.00883129784
370.154656872108 324.55531049667 -11.0189796486488
654.889006234148 324.584768841693 -11.0418134178653
939.623205123494 324.630542014036 -12.0773326018586
1224.35769306432 324.692782772169 -11.1255372373342
1509.0920275193 324.771338357603 -11.1864272875734
1793.82663465078 324.866310645474 -10.2600028050706
2078.55937015289 324.977342870294 -15.3462634503018
2363.29534673066 325.105250580903 -10.445210064262
2648.03051338472 325.249371201625 -8.55684200907331
2932.76492652341 325.409755586384 -8.68115924497204
3217.49882075197 325.586454653009 -9.81816178290448
3502.23480067006 325.779723804115 -6.96785030814314
3786.96925185919 325.989205502934 -7.13022388215165
4071.70368302103 326.215052953597 -7.30528288707487
4356.43945584482 326.457368566048 -5.49302778994786
4641.21532188024 326.71886859742 51.3065271798121
-5324.02322038622 791.032283369777 -24.2664916094128
-5039.31625798026 790.734455247599 -24.0356389052812
-4754.60926892464 790.452991299225 -23.8174704088938
-4469.90155537277 790.187767583499 -24.6119858685561
-4185.19390727106 789.938908121307 -25.4191855989408
-3900.48693638689 789.706536775695 -25.2390697888393
-3615.77937915821 789.49040576994 -26.0716380190662
-3331.07189189476 789.290639001381 -26.9168905061726
-3046.36542936267 789.10748401302 -25.7748274881833
-2761.6579974629 788.940445647544 -26.6454484337761
-2476.95064004807 788.789771505397 -27.5287536255007
-2192.24370161746 788.655585282413 -27.4247431237168
-1907.53734849128 788.538010601247 -25.3334169320641
-1622.83029928961 788.436552691249 -25.254774818931
-1338.12366022578 788.351706270955 -23.1888169755338
-1053.41650627364 788.2829766964 -23.1355432684586
-768.709346751807 788.23061130475 -23.0949537761802
-484.002410343381 788.194980992181 -20.067048532661
-199.295110563366 788.175343961143 -20.0518274659497
85.4122036341043 788.172194750443 -19.0492906291289
370.119606469927 788.185409736181 -18.0594380175955
654.82760870106 788.215607097067 -12.0822697026191
939.534525035069 788.26080868576 -17.1177854768021
1224.24252328898 788.323363599021 -14.1659856204161
1508.95031016334 788.402035458049 -13.2268699790639
1793.65845877808 788.497195232129 -11.3004386398386
2078.36612573328 788.608471892608 -11.3866914684513
2363.0737816977 788.736112766694 -11.4856285356593
2647.78101089877 788.879994114407 -12.5972497468836
2932.4885958179 789.040363387881 -12.7215552697141
3217.19666858564 789.217220660109 -11.8585451607289
3501.90536132685 789.410566021825 -10.0082194902596
3786.61302883766 789.620028014719 -10.1705777898
4071.32195030088 789.84610199984 -8.34562074977103
4356.03034687799 790.088416420772 -7.53334782326763
4640.73808342991 790.346971170623 -7.73375892861477
-5323.52733602748 1254.66309699208 -21.3404606574677
-5038.84689148669 1254.36529661012 -21.1096294553483
-4754.16642029862 1254.08385887736 -20.8914812792254
-4469.48522468226 1253.81858713097 -21.6860158669316
-4184.80474925536 1253.56987474052 -21.493233776828
-3900.12364149156 1253.33732841171 -22.3131345088985
-3615.44260218368 1253.12114480302 -23.1457183219273
-3330.76163283448 1252.92132390783 -23.9909852107933
-3046.08073495358 1252.73786571892 -24.8489351710757
-2761.39904595805 1252.5703772911 -27.7195679710055
-2476.71877210965 1252.4198409898 -27.6028841871805
-2192.03848516324 1252.28566732808 -27.4988834218869
-1907.35788820217 1252.16765989957 -28.4075656117673
-1622.67787799745 1252.06640792511 -27.3289309482577
-1337.99777013032 1251.98151856307 -26.262979282228
-1053.31756610407 1251.91299182157 -25.209710619976
-768.63726742763 1251.86082770765 -24.1691249669644
-483.956724168204 1251.82463352408 -25.1412222859706
-199.276360965581 1251.80539104752 -23.1260026948821
85.4041814530706 1251.80251121594 -21.1234661276904
370.085191096125 1251.8169758045 -14.1336127010961
654.765490587119 1251.84525048329 -20.1564420377508
939.446281017051 1251.89126229615 -19.1919545651612
1224.12734708206 1251.95383316172 -17.2401501797198
1508.80787664174 1252.03217758198 -18.3010287267377
1793.48915095614 1252.12747384103 -16.3745904669707
2078.16994365614 1252.23873999832 -16.4608351543483
2362.85146473896 1252.36676169917 -14.5597630577173
2647.53190880711 1252.51055677698 -15.67137375579
2932.21362609424 1252.6713039337 -13.7956678331982
3216.89449942311 1252.84802084288 -13.9326447447512
3501.57535573801 1253.04110042586 -14.0823047013657
3786.25678592289 1253.25073925597 -13.2446478958205
4070.93828516523 1253.47674082817 -12.4196741882718
4355.62121489861 1253.71949844673 -9.60738408644924
4640.30148480027 1253.97783222271 -10.8077760856487
-5323.0289242759 1718.2938609658 -21.448144882227
-5038.37513275487 1717.99608846522 -21.2173352915346
-4753.72131458903 1717.71467708222 -20.9992075396509
-4469.06747128307 1717.44962681821 -20.7937616276588
-4184.41360434245 1717.20093767453 -20.6009975566055
-3899.7584949767 1716.96807102922 -22.4209148834357
-3615.10410874434 1716.75183492005 -23.2535143539722
-3330.45031353904 1716.55222923915 -23.0987958846111
-3045.79650072275 1716.36898467575 -22.9567592539953
-2761.14180779337 1716.20156284762 -24.8274042037107
-2476.48727840756 1716.05050223217 -26.7107310671154
-2191.83325699996 1715.91607196394 -27.6067399277996
-1907.17990985963 1715.79854110134 -26.5154308115141
-1622.52620970409 1715.69710220247 -26.4368034342947
-1337.87229164726 1715.6117553157 -27.3708578336433
-1053.21862036991 1715.54303865154 -27.3175941336811
-768.564943524016 1715.49068309768 -27.2770122668777
-483.91141403769 1715.4552268047 -25.2491123108976
-199.257672671714 1715.43586253846 -24.2338941428354
85.3961454599228 1715.43259031486 -24.2313577750117
370.050021037979 1715.4459482823 -23.2415032845828
654.704086164462 1715.47593645745 -21.2643306821156
939.358032036008 1715.52174761006 -21.2998398488844
1224.01216444419 1715.58418898353 -20.3480309149877
1508.66661549486 1715.6632606141 -18.4089039096887
1793.320675554 1715.75815518699 -18.4824586452152
2077.97472612908 1715.86941089193 -18.5686952307572
2362.62913536698 1715.99729688872 -17.6676137706541
2647.2836211822 1716.1415440605 -16.7792141938618
2931.93772334558 1716.30188320816 -16.9034963655482
3216.59231326608 1716.47885272477 -16.040460551364
3501.24642745005 1716.67191417001 -16.1901064490425
3785.900523117 1716.88133675022 -16.3524341990029
4070.55523563167 1717.1073897977 -15.5274440392897
4355.21069709755 1717.35007342421 -13.715136057709
4639.86486179271 1717.60857952307 -13.915509452673
-5322.53048409072 2181.92494504024 -21.5895453976755
-5037.90334710977 2181.62720042221 -21.3587574193334
-4753.27618348665 2181.34581539015 -21.1406500926041
-4468.64899472581 2181.08078994473 -20.9352234180101
-4184.02047308754 2180.83143994799 -22.7424768517025
-3899.39271754029 2180.59879171989 -23.5624112970691
-3614.76672711074 2180.38352914564 -21.3950271020435
-3330.13845532957 2180.18325815555 -23.2403226833958
-3045.51129705551 2180.000030751 -23.0982993529499
-2760.88369071268 2179.83282101935 -23.9689565230483
-2476.25615883391 2179.68197092138 -24.8522943829226
-2191.6290458213 2179.54782232132 -24.7483130434453
-1907.00132448676 2179.42934960246 -26.6570121474989
-1622.37427886285 2179.32792020204 -26.5783921327237
-1337.74722465913 2179.24285038146 -26.5124527648196
-1053.1199986096 2179.17379833055 -27.4591939724656
-768.493096529869 2179.1217894818 -26.418615971147
-483.866025617784 2179.08579840342 -26.390718545924
-199.238983319356 2179.0665087001 -25.3755018272943
85.3881357375321 2179.06323678332 -25.3729656972887
370.015312235291 2179.07666624611 -24.3831102773816
654.642473415906 2179.10611350154 -24.4059354508222
939.269778092506 2179.15226215126 -23.4414413445973
1223.8971668642 2179.21477040562 -22.4896279056337
1508.52463822806 2179.29363827296 -21.5504951392253
1793.15219067792 2179.38886575975 -20.6240430503908
2077.77949762417 2179.5001110123 -20.710271534072
2362.4071631997 2179.62805774077 -19.8091808025215
2647.0344911963 2179.77202220307 -19.9207706187547
2931.66226387503 2179.93268819112 -19.0450412583735
3216.2901101161 2180.10971382847 -18.1819925987108
3500.9174806653 2180.3027571352 -18.331624436859
3785.54542497678 2180.5125020598 -17.4939371698096
4070.17343833268 2180.7386066517 -16.6689306174187
4354.80083788588 2180.98072882428 -16.8566044940826
4639.42894028337 2181.23955272948 -16.0569593545036
-5322.0311828015 2645.55593181329 -22.7646618155852
-5037.43074640915 2645.25821512656 -22.5338954873598
-4752.83102699398 2644.9772713637 -21.3158089835869
-4468.23049429859 2644.71227073879 -21.1104015478858
-4183.62862885092 2644.46279858618 -22.9176729770812
-3899.02874948844 2644.23092890317 -21.7376248032755
-3614.42649843034 2644.01375831955 -24.5702550569586
-3329.82657933164 2643.81460474318 -23.4155658092382
-3045.2265535693 2643.63180916079 -22.2735559791514
-2760.62599072446 2643.46495694457 -22.1442253940352
-2476.02502588735 2643.31404817312 -23.0275741148169
-2191.42413701189 2643.17949750332 -23.9236023366932
-1906.82332560219 2643.06130492627 -24.8323100527628
-1622.2225931649 2642.95947043587 -25.7536972582943
-1337.62194120454 2642.87399402504 -26.6877639477982
-1053.02153597735 2642.80529021984 -26.6345102150824
-768.42112518267 2642.75294446269 -26.5939359419042
-483.82078602249 2642.71737127451 -25.5660412180944
-199.220355247771 2642.69815612922 -24.5508259498249
85.3801389198523 2642.69447000215 -25.5482899707831
369.980717239715 2642.70838547932 -23.5584337156331
654.581266885524 2642.73782998132 -23.5812567548394
939.181666129152 2642.78321801069 -24.6167591639583
1223.78254575893 2642.84620769466 -22.6649413360061
1508.3831250327 2642.92472637807 -22.7258027827293
1792.98369632879 2643.01960311971 -22.7993436968807
2077.58490825096 2643.13166708621 -20.8855643560066
2362.18554813418 2643.25925998224 -20.9844642344382
2646.78617552428 2643.4032109395 -21.0960435826248
2931.38678891683 2643.56351995828 -21.220302400804
3215.98788997473 2643.74060171591 -20.35724090002
3500.58906307955 2643.93404159251 -19.5068589137479
3785.18971450475 2644.14342485334 -19.6691561864445
4069.79098266194 2644.36958095357 -18.844133218113
4354.39231835182 2644.61209519023 -18.0317897778359
